id,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kategori_pelanggaran,tahun,latitude_kecamatan,longitude_kecamatan,latitude_desa,longitude_desa
30,3273120,UJUNG BERUNG,3273120004,PASIRJATI,PENCURIAN,2019,-6.91,107.61,-6.903283,107.710873
31,3273120,UJUNG BERUNG,3273120004,PASIRJATI,PENCURIAN,2019,-6.91,107.61,-6.903283,107.710873
32,3273120,UJUNG BERUNG,3273120004,PASIRJATI,PENCURIAN,2019,-6.91,107.61,-6.903283,107.710873
33,3273120,UJUNG BERUNG,3273120004,PASIRJATI,PENCURIAN,2019,-6.91,107.61,-6.903283,107.710873
34,3273120,UJUNG BERUNG,3273120007,PASIR ENDAH,PENCURIAN RODA DUA,2020,-6.91,107.61,-6.904808,107.690215
35,3273120,UJUNG BERUNG,3273120007,PASIR ENDAH,PENCURIAN HP,2020,-6.91,107.61,-6.904808,107.690215
36,3273120,UJUNG BERUNG,3273120007,PASIR ENDAH,PENCURIAN RODA DUA,2020,-6.91,107.61,-6.904808,107.690215
37,3273120,UJUNG BERUNG,3273120007,PASIR ENDAH,PENCURIAN RODA DUA,2020,-6.91,107.61,-6.904808,107.690215
38,3273120,UJUNG BERUNG,3273120007,PASIR ENDAH,PENCURIAN RODA DUA,2020,-6.91,107.61,-6.904808,107.690215
39,3273120,UJUNG BERUNG,3273120004,PASIRJATI,PENCURIAN (1 KASUS),2020,-6.91,107.61,-6.903283,107.710873
40,3273120,UJUNG BERUNG,3273120004,PASIRJATI,PENCURIAN (3 KASUS),2020,-6.91,107.61,-6.903283,107.710873
1,3273101,GEDEBAGE,3273101001,RANCABOLANG,BALAP LIAR,2018,-6.575207238,106.6407372,-6.962287,107.693137
2,3273101,GEDEBAGE,3273101002,RANCANUMPANG,BALAP LIAR,2018,-6.350881985,106.8013109,-6.959808,107.710153
3,3273101,GEDEBAGE,3273101001,RANCABOLANG,PENCURIAN,2019,-6.408125754,106.3717297,-6.962287,107.693137
4,3273101,GEDEBAGE,3273101001,RANCABOLANG,PENGANIAYAAN,2019,-6.099469738,106.3633474,-6.962287,107.693137
5,3273101,GEDEBAGE,3273101004,CIMINCRANG,BUANG SAMPAH SEMBARANGAN,2019,-6.418194473,107.8587939,-6.945977,107.703788
6,3273101,GEDEBAGE,3273101001,RANCABOLANG,PENCURIAN,2020,-6.140716861,107.963546,-6.962287,107.693137
7,3273101,GEDEBAGE,3273101001,RANCABOLANG,PENGANIAYAAN,2020,-6.680351675,107.1807068,-6.962287,107.693137
8,3273101,GEDEBAGE,3273101004,CIMINCRANG,BUANG SAMPAH SEMBARANGAN,2020,-6.392327898,106.5748832,-6.945977,107.703788
1,3273260,CIDADAP,3273260001,HEGARMANAH,CURANMOR,2018,-6.067742787,106.0424877,-6.874048,107.599912
2,3273260,CIDADAP,3273260001,HEGARMANAH,CURANMOR,2018,-6.27269169,107.1316715,-6.874048,107.599912
3,3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2018,-6.61853111,107.9323424,-6.859909,107.613239
4,3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2018,-6.402940917,106.3819703,-6.859909,107.613239
5,3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2018,-6.765512793,107.9203662,-6.859909,107.613239
6,3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2018,-6.943811948,107.1087722,-6.859909,107.613239
7,3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2018,-6.816965044,107.6504082,-6.859909,107.613239
8,3273260,CIDADAP,3273260003,LEDENG,CURANMOR,2018,-6.189586592,106.9873221,-6.859909,107.613239
9,3273260,CIDADAP,3273260003,LEDENG,CURANMOR,2018,-6.102591054,106.7431894,-6.85534,107.598321
10,3273260,CIDADAP,3273260001,HEGARMANAH,CURANMOR,2020,-6.211267933,106.3020593,-6.874048,107.599912
11,3273260,CIDADAP,3273260001,HEGARMANAH,CURANMOR,2020,-6.006611369,106.5573456,-6.874048,107.599912
12,3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2020,-6.88991997,107.9030267,-6.859909,107.613239
13,3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2020,-6.936539608,107.49762,-6.859909,107.613239
14,3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2020,-6.168523168,107.2524451,-6.859909,107.613239
15,3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2020,-6.756657802,106.2300589,-6.859909,107.613239
16,3273260,CIDADAP,3273260002,CIUMBULEUIT,CURANMOR,2020,-6.095908623,106.1874819,-6.859909,107.613239
17,3273260,CIDADAP,3273260003,LEDENG,CURANMOR,2020,-6.3747735,106.584035,-6.859909,107.613239
18,3273260,CIDADAP,3273260003,LEDENG,CURANMOR,2020,-6.014757225,106.7290402,-6.859909,107.613239
1,3273130,ARCAMANIK,3273130002,CISARANTEN BINA HARAPAN,BEGAL,2020,-6.632249409,106.2334926,-6.911626,107.685382
2,3273130,ARCAMANIK,3273130002,CISARANTEN BINA HARAPAN,BEGAL,2020,-6.072117674,107.2315056,-6.911626,107.685382
3,3273130,ARCAMANIK,3273130001,CISARANTEN KULON,BEGAL,2020,-6.34436007,106.3303665,-6.926003,107.680488
4,3273130,ARCAMANIK,3273130001,CISARANTEN KULON,BEGAL,2020,-6.303335084,107.5836275,-6.926003,107.680488
5,3273130,ARCAMANIK,3273130001,CISARANTEN KULON,BEGAL,2020,-6.363753401,106.8395424,-6.926003,107.680488
6,3273130,ARCAMANIK,3273130003,SUKAMISKIN,BEGAL,2020,-6.887843809,107.6298202,-6.913657,107.674513
7,3273130,ARCAMANIK,3273130003,SUKAMISKIN,BEGAL,2020,-6.063901624,107.2945625,-6.913657,107.674513
8,3273130,ARCAMANIK,3273130003,SUKAMISKIN,BEGAL,2020,-6.879699063,106.7992564,-6.913657,107.674513
9,3273130,ARCAMANIK,3273130005,CISARANTEN ENDAH,BEGAL,2020,-6.179796377,107.5781873,-6.931724,107.672227
10,3273130,ARCAMANIK,3273130005,CISARANTEN ENDAH,BEGAL,2020,-6.225112218,107.9796617,-6.931724,107.672227
11,3273130,ARCAMANIK,3273130005,CISARANTEN ENDAH,BEGAL,2020,-6.438704936,106.456325,-6.931724,107.672227
1,3273040,BOJONGLOA KIDUL,3273040006,SITUSAEUR,CURANMOR,2019,-6.92,107.62,-6.940841,107.595295
2,3273040,BOJONGLOA KIDUL,3273040001,CIBADUYUT KIDUL,PENCURIAN,2019,-6.92,107.62,-6.95982,107.590044
1,3273160,BATUNUNGGAL,3273160002,BINONG,PENCURIAN,2020,-6.721739208,106.846779,-6.938881,107.640897
1,3273250,SUKASARI,3273250003,GEGERKALONG,CURANMOR,2018,-6.93,107.63,-6.867158,107.589088
2,3273250,SUKASARI,3273250002,SUKARASA,PENCURIAN,2018,-6.93,107.63,-6.874161,107.585678
3,3273250,SUKASARI,3273250002,SUKARASA,BEGAL - TAWURAN - GENG MOTOR,2018,-6.93,107.63,-6.874161,107.585678
4,3273250,SUKASARI,3273250002,SUKARASA,KERIBUTAN WARGA,2018,-6.93,107.63,-6.874161,107.585678
5,3273250,SUKASARI,3273250002,SUKARASA,KERIBUTAN WARGA,2018,-6.93,107.63,-6.874161,107.585678
6,3273250,SUKASARI,3273250004,ISOLA,PENCURIAN,2018,-6.93,107.63,-6.855461,107.59243
7,3273250,SUKASARI,3273250003,GEGERKALONG,CURANMOR,2019,-6.93,107.63,-6.867158,107.589088
8,3273250,SUKASARI,3273250002,SUKARASA,PENCURIAN,2019,-6.93,107.63,-6.874161,107.585678
9,3273250,SUKASARI,3273250002,SUKARASA,BEGAL - TAWURAN - GENG MOTOR,2019,-6.93,107.63,-6.874161,107.585678
10,3273250,SUKASARI,3273250002,SUKARASA,KERIBUTAN WARGA,2019,-6.93,107.63,-6.874161,107.585678
11,3273250,SUKASARI,3273250002,SUKARASA,KERIBUTAN WARGA,2019,-6.93,107.63,-6.874161,107.585678
12,3273250,SUKASARI,3273250004,ISOLA,PENCURIAN,2019,-6.93,107.63,-6.855461,107.59243
13,3273250,SUKASARI,3273250002,SUKARASA,PENCURIAN MOTOR,2020,-6.93,107.63,-6.874161,107.585678
14,3273250,SUKASARI,3273250002,SUKARASA,PENCURIAN MOTOR,2020,-6.93,107.63,-6.874161,107.585678
15,3273250,SUKASARI,3273250002,SUKARASA,PENCURIAN MOTOR,2020,-6.93,107.63,-6.874161,107.585678
16,3273250,SUKASARI,3273250002,SUKARASA,PENCURIAN MOTOR,2020,-6.93,107.63,-6.874161,107.585678
17,3273250,SUKASARI,3273250003,GEGERKALONG,PENCURIAN MOTOR,2020,-6.93,107.63,-6.867158,107.589088
18,3273250,SUKASARI,3273250004,ISOLA,PENCURIAN MOTOR,2020,-6.93,107.63,-6.855461,107.59243
19,3273250,SUKASARI,3273250004,ISOLA,PENCURIAN MOTOR,2020,-6.93,107.63,-6.855461,107.59243
20,3273250,SUKASARI,3273250001,SARIJADI,PENCURIAN MOTOR,2020,-6.93,107.63,-6.875843,107.57757
21,3273250,SUKASARI,3273250001,SARIJADI,PENCURIAN MOTOR,2020,-6.93,107.63,-6.875843,107.57757
22,3273250,SUKASARI,3273250001,SARIJADI,PENCURIAN MOTOR,2020,-6.93,107.63,-6.875843,107.57757
